sector,yearly_return
RETAILING,1.1330539932556507
DEFENCE,1.017600574712644
POWER,0.601840952881961
AUTOMOBILES,0.5452653707510527
MINING,0.418465227817746
SOFTWARE,0.3827595416662726
CEMENT,0.3697094486387554
ENERGY,0.3656478760183928
MISCELLANEOUS,0.36103081382860147
ALUMINIUM,0.3586831961662674
TEXTILES,0.3578198804497765
PHARMACEUTICALS,0.31379173001529126
STEEL,0.19217124614573192
ENGINEERING,0.1725372163019604
INSURANCE,0.11767832027533356
FINANCE,0.11576063201001446
BANKING,0.11380534233917365
FOOD & TOBACCO,0.04321734389748765
FMCG,-0.0095791648102394
PAINTS,-0.2193504586576567
